Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : naive
Num Clients : 10
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 500.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=192, total_rounds=183, total_fda_steps=30000, accuracy=0.8215000033378601, train_accuracy=0.903125)
EpochMetrics(epoch=193, total_rounds=184, total_fda_steps=30157, accuracy=0.8131999969482422, train_accuracy=0.85)
EpochMetrics(epoch=194, total_rounds=186, total_fda_steps=30313, accuracy=0.8230999708175659, train_accuracy=0.915625)
EpochMetrics(epoch=195, total_rounds=187, total_fda_steps=30469, accuracy=0.8163999915122986, train_accuracy=0.896875)
EpochMetrics(epoch=196, total_rounds=188, total_fda_steps=30625, accuracy=0.8064000010490417, train_accuracy=0.828125)
EpochMetrics(epoch=197, total_rounds=190, total_fda_steps=30782, accuracy=0.8130999803543091, train_accuracy=0.8875)
EpochMetrics(epoch=198, total_rounds=191, total_fda_steps=30938, accuracy=0.8113999962806702, train_accuracy=0.86875)
EpochMetrics(epoch=199, total_rounds=193, total_fda_steps=31094, accuracy=0.816100001335144, train_accuracy=0.909375)
EpochMetrics(epoch=200, total_rounds=194, total_fda_steps=31250, accuracy=0.8165000081062317, train_accuracy=0.890625)
EpochMetrics(epoch=201, total_rounds=195, total_fda_steps=31407, accuracy=0.8130999803543091, train_accuracy=0.85)
EpochMetrics(epoch=202, total_rounds=197, total_fda_steps=31563, accuracy=0.8170999884605408, train_accuracy=0.921875)
EpochMetrics(epoch=203, total_rounds=198, total_fda_steps=31719, accuracy=0.8105999827384949, train_accuracy=0.871875)
EpochMetrics(epoch=204, total_rounds=200, total_fda_steps=31875, accuracy=0.8187000155448914, train_accuracy=0.94375)
EpochMetrics(epoch=205, total_rounds=201, total_fda_steps=32032, accuracy=0.8118000030517578, train_accuracy=0.865625)
EpochMetrics(epoch=206, total_rounds=202, total_fda_steps=32188, accuracy=0.8136000037193298, train_accuracy=0.7875)
EpochMetrics(epoch=207, total_rounds=204, total_fda_steps=32344, accuracy=0.8202000260353088, train_accuracy=0.88125)
EpochMetrics(epoch=208, total_rounds=205, total_fda_steps=32500, accuracy=0.8180000185966492, train_accuracy=0.8625)
EpochMetrics(epoch=209, total_rounds=207, total_fda_steps=32657, accuracy=0.8169000148773193, train_accuracy=0.9125)
EpochMetrics(epoch=210, total_rounds=208, total_fda_steps=32813, accuracy=0.8097000122070312, train_accuracy=0.878125)
EpochMetrics(epoch=211, total_rounds=210, total_fda_steps=32969, accuracy=0.8155999779701233, train_accuracy=0.91875)
EpochMetrics(epoch=212, total_rounds=211, total_fda_steps=33125, accuracy=0.8151000142097473, train_accuracy=0.9)
EpochMetrics(epoch=213, total_rounds=213, total_fda_steps=33282, accuracy=0.8119000196456909, train_accuracy=0.946875)
EpochMetrics(epoch=214, total_rounds=214, total_fda_steps=33438, accuracy=0.8149999976158142, train_accuracy=0.890625)
EpochMetrics(epoch=215, total_rounds=215, total_fda_steps=33594, accuracy=0.8166999816894531, train_accuracy=0.840625)
EpochMetrics(epoch=216, total_rounds=217, total_fda_steps=33750, accuracy=0.817799985408783, train_accuracy=0.934375)
EpochMetrics(epoch=217, total_rounds=218, total_fda_steps=33907, accuracy=0.8162999749183655, train_accuracy=0.828125)
EpochMetrics(epoch=218, total_rounds=220, total_fda_steps=34063, accuracy=0.8166000247001648, train_accuracy=0.88125)
EpochMetrics(epoch=219, total_rounds=221, total_fda_steps=34219, accuracy=0.8133000135421753, train_accuracy=0.828125)
